instance_id,segment_id,date_x,interval,uptime,heavy,car,bike,pedestrian,night,heavy_lft,heavy_rgt,car_lft,car_rgt,bike_lft,bike_rgt,pedestrian_lft,pedestrian_rgt,night_lft,night_rgt,direction,car_speed_hist_0to70plus,car_speed_hist_0to120plus,timezone,v85,street_name,temperature_c,precipitation_mm,rain_mm,snowfall_cm,cloud_cover_pct,wind_speed_kmh,sunshine_duration_s,datetime,date_only,hour,dayofweek,is_weekend,date_y,is_holiday,date,is_school_vacation,street_code,total_people,is_rain
-1,9000008372,2025-11-22 05:00:00+01:00,hourly,0.9844444444,0.0,0.0,0.0,0.0,1.0650887574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0650887574,0.0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Paris,,Sintmartenslatemlaan,-1.9,0.0,0.0,0.0,82,11.4,0.0,2025-11-22 05:00:00+01:00,2025-11-22,5,5,1,,0,,0,1,0.0,0
-1,9000008372,2025-11-22 06:00:00+01:00,hourly,0.9361111111,0.0,0.0,0.0,0.0,1.083032491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.083032491,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Paris,,Sintmartenslatemlaan,-2.2,0.0,0.0,0.0,100,12.0,0.0,2025-11-22 06:00:00+01:00,2025-11-22,6,5,1,,0,,0,1,0.0,0
-1,9000008372,2025-11-22 07:00:00+01:00,hourly,0.9955555556,0.0,0.0,0.0,0.0,6.0158013544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0158013544,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Paris,,Sintmartenslatemlaan,-2.2,0.0,0.0,0.0,100,13.4,0.0,2025-11-22 07:00:00+01:00,2025-11-22,7,5,1,,0,,0,1,0.0,0
-1,9000008372,2025-11-22 08:00:00+01:00,hourly,0.9808333333,0.0,10.0428736964,0.0,1.0,0.0,0.0,0.0,4.0,6.0428736964,0.0,0.0,1.0,0.0,0.0,0.0,1,"[0.0, 60.170762663, 9.9573093343, 19.9146186685, 9.9573093343, 0.0, 0.0, 0.0]","[0.0, 0.0, 20.3415253259, 39.829237337, 9.9573093343, 0.0, 9.9573093343, 9.9573093343, 9.9573093343, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Paris,37.5,Sintmartenslatemlaan,-2.2,0.0,0.0,0.0,98,13.5,0.0,2025-11-22 08:00:00+01:00,2025-11-22,8,5,1,,0,,0,1,11.0428736964,0
-1,9000008372,2025-11-22 09:00:00+01:00,hourly,0.9816666667,0.0,33.3827751196,9.0765550239,6.0,0.0,0.0,0.0,16.0765550239,17.3062200957,3.0,6.0765550239,3.0,3.0,0.0,0.0,1,"[18.2026659023, 21.1982227318, 36.4053318045, 12.2115522431, 11.9822273183, 0.0, 0.0, 0.0]","[5.9911136592, 12.2115522431, 8.9866704887, 12.2115522431, 18.2026659023, 18.2026659023, 6.2204385839, 5.9911136592, 8.9866704887, 2.9955568296, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Paris,37.5,Sintmartenslatemlaan,-2.0,0.0,0.0,0.0,77,14.5,0.0,2025-11-22 09:00:00+01:00,2025-11-22,9,5,1,,0,,0,1,48.4593301435,0
-1,9000008372,2025-11-22 10:00:00+01:00,hourly,0.9872222222,0.0,27.6168224299,17.1028037383,4.0,0.0,0.0,0.0,9.2056074766,18.4112149533,12.0,5.1028037383,0.0,4.0,0.0,0.0,1,"[59.6108291032, 7.4280879865, 14.6700507614, 14.4839255499, 3.807106599, 0.0, 0.0, 0.0]","[52.1827411168, 7.4280879865, 0.0, 7.4280879865, 7.241962775, 7.4280879865, 7.241962775, 7.241962775, 3.807106599, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Paris,32.5,Sintmartenslatemlaan,-1.1,0.0,0.0,0.0,50,17.6,3600.0,2025-11-22 10:00:00+01:00,2025-11-22,10,5,1,,0,,0,1,48.7196261682,0
-1,9000008372,2025-11-22 11:00:00+01:00,hourly,0.9844444444,0.0,41.8936170213,5.0,3.0,0.0,0.0,0.0,27.5744680851,14.3191489362,3.0,2.0,1.0,2.0,0.0,0.0,1,"[51.1934992382, 7.313357034, 22.2447943118, 14.4743524632, 4.7739969528, 0.0, 0.0, 0.0]","[46.2671406805, 4.9263585576, 2.3869984764, 4.9263585576, 12.5444388014, 9.7003555104, 4.7739969528, 9.7003555104, 4.7739969528, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Paris,34.5,Sintmartenslatemlaan,0.2,0.0,0.0,0.0,99,15.2,3600.0,2025-11-22 11:00:00+01:00,2025-11-22,11,5,1,,0,,0,1,49.8936170213,0
-1,9000008372,2025-11-22 12:00:00+01:00,hourly,0.9836111111,0.0,62.7538644471,9.4910820452,34.192627824,0.0,0.0,0.0,44.4732461356,18.2806183115,2.0701545779,7.4209274673,7.1403091558,27.0523186683,0.0,0.0,1,"[47.6656055783, 9.8965438836, 27.7607245718, 4.8923753221, 6.485902683, 1.5935273609, 1.7053206003, 0.0]","[40.9561164166, 6.7094891617, 6.7094891617, 3.1870547218, 11.4900712445, 16.2706533273, 3.2988479612, 1.5935273609, 4.8923753221, 1.5935273609, 1.5935273609, 0.0, 0.0, 1.7053206003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Paris,30.0,Sintmartenslatemlaan,1.2,0.0,0.0,0.0,99,16.6,3600.0,2025-11-22 12:00:00+01:00,2025-11-22,12,5,1,,0,,0,1,106.4375743163,0
-1,9000008372,2025-11-22 13:00:00+01:00,hourly,0.9911111111,4.0689655172,41.3448275862,19.0344827586,11.0689655172,0.0,2.0689655172,2.0,12.1379310345,29.2068965517,12.0344827586,7.0,10.0689655172,1.0,0.0,0.0,1,"[26.8557130942, 9.7581317765, 31.6930775646, 24.3536280234, 4.8373644704, 2.5020850709, 0.0, 0.0]","[26.8557130942, 0.0, 4.9207673061, 4.8373644704, 14.6788990826, 17.0141784821, 9.7581317765, 14.5954962469, 2.4186822352, 2.4186822352, 2.5020850709, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Paris,37.5,Sintmartenslatemlaan,2.0,0.0,0.0,0.0,95,16.9,3600.0,2025-11-22 13:00:00+01:00,2025-11-22,13,5,1,,0,,0,1,75.5172413792,0
-1,9000008372,2025-11-22 14:00:00+01:00,hourly,0.9616666667,4.1501058804,48.9474438814,30.0559600035,37.0313824409,0.0,2.0976543411,2.0524515393,28.1473169406,20.8001269409,13.4565726353,16.5993873682,18.9248735652,18.1065088757,0.0,0.0,1,"[68.3703820797, 12.6976898996, 14.6999837001, 4.2319443206, 0.0, 0.0, 0.0, 0.0]","[61.908873883, 6.4615081967, 8.4251184204, 4.2725714792, 6.3949764616, 8.3050072385, 2.1889367176, 2.0430076031, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Paris,23.0,Sintmartenslatemlaan,2.7,0.0,0.0,0.0,97,18.2,3600.0,2025-11-22 14:00:00+01:00,2025-11-22,14,5,1,,0,,0,1,120.1848922062,0
